 TIME                    	Front1                   	Back1                    	Left1                    	Front2                   	Back2                    	Right2                   	Back3                    	Bottom1                  	Bottom2                  	Bottom3                  
0.00	-3.32	-3.34	-3.62	-3.32	-3.34	-3.62	-2.22	7.25	7.25	9.87
1.00	-3.33	-3.34	-3.63	-3.33	-3.34	-3.63	-2.23	7.25	7.24	9.87
2.00	-3.33	-3.34	-3.63	-3.33	-3.34	-3.63	-2.23	7.24	7.24	9.87
3.00	-3.33	-3.34	-3.63	-3.33	-3.34	-3.63	-2.23	7.24	7.24	9.87
4.00	-3.33	-3.35	-3.64	-3.33	-3.35	-3.64	-2.23	7.24	7.24	9.87
5.00	-3.34	-3.35	-3.64	-3.34	-3.35	-3.64	-2.24	7.24	7.24	9.87
6.00	-3.34	-3.35	-3.64	-3.34	-3.35	-3.64	-2.24	7.24	7.24	9.86
7.00	-3.34	-3.35	-3.64	-3.34	-3.35	-3.64	-2.24	7.24	7.24	9.86
8.00	-3.34	-3.36	-3.65	-3.34	-3.36	-3.65	-2.25	7.24	7.24	9.86
9.00	-3.35	-3.36	-3.65	-3.35	-3.36	-3.65	-2.25	7.24	7.24	9.86
10.00	-3.35	-3.36	-3.65	-3.35	-3.36	-3.65	-2.25	7.24	7.24	9.86
11.00	-3.35	-3.36	-3.65	-3.35	-3.36	-3.65	-2.25	7.24	7.24	9.86
12.00	-3.35	-3.37	-3.66	-3.35	-3.37	-3.66	-2.26	7.24	7.23	9.86
13.00	-3.36	-3.37	-3.66	-3.36	-3.37	-3.66	-2.26	7.23	7.23	9.86
14.00	-3.36	-3.37	-3.66	-3.36	-3.37	-3.66	-2.26	7.23	7.23	9.86
15.00	-3.36	-3.37	-3.66	-3.36	-3.37	-3.66	-2.27	7.23	7.23	9.86
16.00	-3.36	-3.38	-3.67	-3.36	-3.38	-3.67	-2.27	7.23	7.23	9.85
17.00	-3.37	-3.38	-3.67	-3.37	-3.38	-3.67	-2.27	7.23	7.23	9.85
18.00	-3.37	-3.38	-3.67	-3.37	-3.38	-3.67	-2.27	7.23	7.23	9.85
19.00	-3.37	-3.38	-3.67	-3.37	-3.38	-3.67	-2.28	7.23	7.23	9.85
20.00	-3.37	-3.39	-3.68	-3.37	-3.39	-3.68	-2.28	7.23	7.23	9.85
21.00	-3.38	-3.39	-3.68	-3.38	-3.39	-3.68	-2.28	7.23	7.23	9.85
22.00	-3.38	-3.39	-3.68	-3.38	-3.39	-3.68	-2.28	7.23	7.23	9.85
23.00	-3.38	-3.39	-3.68	-3.38	-3.39	-3.68	-2.29	7.23	7.23	9.85
24.00	-3.38	-3.40	-3.69	-3.38	-3.40	-3.69	-2.29	7.23	7.23	9.85
25.00	-3.39	-3.40	-3.69	-3.39	-3.40	-3.69	-2.29	7.23	7.23	9.84
26.00	-3.39	-3.40	-3.69	-3.39	-3.40	-3.69	-2.30	7.23	7.22	9.84
27.00	-3.39	-3.40	-3.70	-3.39	-3.40	-3.70	-2.30	7.22	7.22	9.84
28.00	-3.39	-3.41	-3.70	-3.39	-3.41	-3.70	-2.30	7.22	7.22	9.84
29.00	-3.40	-3.41	-3.70	-3.40	-3.41	-3.70	-2.30	7.22	7.22	9.84
30.00	-3.40	-3.41	-3.70	-3.40	-3.41	-3.70	-2.31	7.22	7.22	9.84
31.00	-3.40	-3.42	-3.71	-3.40	-3.42	-3.71	-2.31	7.22	7.22	9.84
32.00	-3.40	-3.42	-3.71	-3.40	-3.42	-3.71	-2.31	7.22	7.22	9.84
33.00	-3.41	-3.42	-3.71	-3.41	-3.42	-3.71	-2.31	7.22	7.22	9.84
34.00	-3.41	-3.42	-3.71	-3.41	-3.42	-3.71	-2.32	7.22	7.22	9.83
35.00	-3.41	-3.43	-3.72	-3.41	-3.43	-3.72	-2.32	7.22	7.22	9.83
36.00	-3.42	-3.43	-3.72	-3.42	-3.43	-3.72	-2.32	7.22	7.21	9.83
37.00	-3.42	-3.43	-3.72	-3.42	-3.43	-3.72	-2.33	7.22	7.21	9.83
38.00	-3.42	-3.43	-3.72	-3.42	-3.43	-3.72	-2.33	7.21	7.21	9.83
39.00	-3.42	-3.43	-3.73	-3.42	-3.43	-3.73	-2.33	7.21	7.21	9.83
40.00	-3.42	-3.44	-3.73	-3.42	-3.44	-3.73	-2.33	7.21	7.21	9.83
41.00	-3.43	-3.44	-3.73	-3.43	-3.44	-3.73	-2.34	7.21	7.21	9.83
42.00	-3.43	-3.44	-3.73	-3.43	-3.44	-3.73	-2.34	7.21	7.21	9.83
43.00	-3.43	-3.44	-3.74	-3.43	-3.44	-3.74	-2.34	7.21	7.21	9.82
44.00	-3.43	-3.45	-3.74	-3.43	-3.45	-3.74	-2.34	7.21	7.21	9.82
45.00	-3.44	-3.45	-3.74	-3.44	-3.45	-3.74	-2.35	7.21	7.21	9.82
46.00	-3.44	-3.45	-3.74	-3.44	-3.45	-3.74	-2.35	7.21	7.21	9.82
47.00	-3.44	-3.45	-3.75	-3.44	-3.45	-3.75	-2.35	7.21	7.21	9.82
48.00	-3.44	-3.46	-3.75	-3.44	-3.46	-3.75	-2.36	7.21	7.21	9.82
49.00	-3.45	-3.46	-3.75	-3.45	-3.46	-3.75	-2.36	7.21	7.20	9.82
50.00	-3.45	-3.46	-3.75	-3.45	-3.46	-3.75	-2.36	7.20	7.20	9.82
51.00	-3.45	-3.47	-3.76	-3.45	-3.47	-3.76	-2.36	7.20	7.20	9.82
52.00	-3.45	-3.47	-3.76	-3.45	-3.47	-3.76	-2.37	7.20	7.20	9.81
53.00	-3.46	-3.47	-3.76	-3.46	-3.47	-3.76	-2.37	7.20	7.20	9.81
54.00	-3.46	-3.47	-3.77	-3.46	-3.47	-3.77	-2.37	7.20	7.20	9.81
55.00	-3.46	-3.48	-3.77	-3.46	-3.48	-3.77	-2.38	7.20	7.20	9.81
56.00	-3.47	-3.48	-3.77	-3.47	-3.48	-3.77	-2.38	7.20	7.20	9.81
57.00	-3.47	-3.48	-3.77	-3.47	-3.48	-3.77	-2.38	7.20	7.20	9.81
58.00	-3.47	-3.48	-3.78	-3.47	-3.48	-3.78	-2.38	7.20	7.19	9.81
59.00	-3.47	-3.49	-3.78	-3.47	-3.49	-3.78	-2.39	7.19	7.19	9.80
60.00	-3.48	-3.49	-3.78	-3.48	-3.49	-3.78	-2.39	7.19	7.19	9.80
61.00	-3.48	-3.49	-3.78	-3.48	-3.49	-3.78	-2.39	7.19	7.19	9.80
62.00	-3.48	-3.49	-3.79	-3.48	-3.49	-3.79	-2.40	7.19	7.19	9.80
63.00	-3.48	-3.49	-3.79	-3.48	-3.49	-3.79	-2.40	7.19	7.19	9.80
64.00	-3.48	-3.50	-3.79	-3.48	-3.50	-3.79	-2.40	7.19	7.19	9.80
65.00	-3.49	-3.50	-3.79	-3.49	-3.50	-3.79	-2.40	7.19	7.19	9.80
66.00	-3.49	-3.50	-3.79	-3.49	-3.50	-3.79	-2.41	7.19	7.19	9.79
67.00	-3.49	-3.50	-3.80	-3.49	-3.50	-3.80	-2.41	7.19	7.19	9.79
68.00	-3.49	-3.51	-3.80	-3.49	-3.51	-3.80	-2.41	7.19	7.19	9.79
69.00	-3.50	-3.51	-3.80	-3.50	-3.51	-3.80	-2.41	7.19	7.19	9.79
70.00	-3.50	-3.51	-3.80	-3.50	-3.51	-3.80	-2.42	7.19	7.19	9.79
71.00	-3.50	-3.51	-3.81	-3.50	-3.51	-3.81	-2.42	7.19	7.19	9.79
72.00	-3.50	-3.52	-3.81	-3.50	-3.52	-3.81	-2.42	7.19	7.19	9.79
73.00	-3.51	-3.52	-3.81	-3.51	-3.52	-3.81	-2.43	7.19	7.18	9.79
74.00	-3.51	-3.52	-3.82	-3.51	-3.52	-3.82	-2.43	7.18	7.18	9.78
75.00	-3.51	-3.52	-3.82	-3.51	-3.52	-3.82	-2.43	7.18	7.18	9.78
