 TIME                    	Front                    	Back                     	Left                     	Right                    	Bottom  
0	-3.561141	-3.561252	-3.649870	-3.649753	6.137114
1	-3.563763	-3.563873	-3.652519	-3.652402	6.136138
2	-3.566400	-3.566511	-3.655184	-3.655067	6.135144
3	-3.569056	-3.569166	-3.657867	-3.657750	6.134128
4	-3.571725	-3.571835	-3.660563	-3.660446	6.133095
5	-3.574401	-3.574511	-3.663267	-3.663150	6.132050
6	-3.577079	-3.577190	-3.665973	-3.665856	6.130997
7	-3.579756	-3.579867	-3.668678	-3.668561	6.129938
8	-3.582433	-3.582543	-3.671382	-3.671265	6.128873
9	-3.585108	-3.585219	-3.674085	-3.673968	6.127804
10	-3.587781	-3.587891	-3.676784	-3.676667	6.126749
11	-3.590348	-3.590459	-3.679379	-3.679262	6.125893
12	-3.592722	-3.592833	-3.681780	-3.681663	6.125259
13	-3.594962	-3.595072	-3.684046	-3.683929	6.124745
14	-3.597137	-3.597248	-3.686248	-3.686131	6.124321
15	-3.599276	-3.599386	-3.688413	-3.688296	6.123967
16	-3.601420	-3.601531	-3.690584	-3.690467	6.123601
17	-3.603683	-3.603793	-3.692873	-3.692756	6.123058
18	-3.606143	-3.606254	-3.695361	-3.695244	6.122278
19	-3.608758	-3.608869	-3.698004	-3.697887	6.121336
20	-3.611445	-3.611556	-3.700719	-3.700602	6.120302
21	-3.614156	-3.614267	-3.703458	-3.703341	6.119210
22	-3.616872	-3.616983	-3.706201	-3.706085	6.118083
23	-3.619584	-3.619694	-3.708941	-3.708824	6.116936
24	-3.622291	-3.622402	-3.711677	-3.711560	6.115773
25	-3.625000	-3.625111	-3.714413	-3.714296	6.114594
26	-3.627714	-3.627824	-3.717154	-3.717037	6.113403
27	-3.630429	-3.630539	-3.719897	-3.719780	6.112205
28	-3.633143	-3.633253	-3.722639	-3.722522	6.111003
29	-3.635853	-3.635963	-3.725377	-3.725260	6.109800
30	-3.638559	-3.638669	-3.728110	-3.727993	6.108599
31	-3.641258	-3.641368	-3.730836	-3.730720	6.107402
32	-3.643948	-3.644059	-3.733555	-3.733438	6.106212
33	-3.646627	-3.646738	-3.736261	-3.736144	6.105032
34	-3.649291	-3.649401	-3.738952	-3.738835	6.103879
35	-3.651858	-3.651969	-3.741546	-3.741430	6.102895
36	-3.654259	-3.654369	-3.743974	-3.743857	6.102104
37	-3.656542	-3.656652	-3.746283	-3.746167	6.101420
38	-3.658780	-3.658890	-3.748548	-3.748431	6.100789
39	-3.660999	-3.661110	-3.750794	-3.750677	6.100207
40	-3.663197	-3.663307	-3.753018	-3.752901	6.099674
41	-3.665453	-3.665564	-3.755301	-3.755184	6.099040
42	-3.667872	-3.667982	-3.757747	-3.757630	6.098205
43	-3.670433	-3.670543	-3.760335	-3.760218	6.097227
44	-3.673062	-3.673172	-3.762992	-3.762875	6.096167
45	-3.675716	-3.675826	-3.765674	-3.765557	6.095056
46	-3.678377	-3.678488	-3.768363	-3.768246	6.093912
47	-3.681039	-3.681150	-3.771053	-3.770936	6.092744
48	-3.683703	-3.683813	-3.773743	-3.773627	6.091558
49	-3.686373	-3.686483	-3.776441	-3.776324	6.090350
50	-3.689054	-3.689164	-3.779149	-3.779033	6.089123
51	-3.691743	-3.691854	-3.781866	-3.781750	6.087880
52	-3.694435	-3.694546	-3.784586	-3.784469	6.086630
53	-3.697126	-3.697236	-3.787304	-3.787187	6.085375
54	-3.699813	-3.699923	-3.790018	-3.789901	6.084119
55	-3.702496	-3.702606	-3.792728	-3.792612	6.082861
56	-3.705174	-3.705284	-3.795433	-3.795317	6.081606
57	-3.707844	-3.707955	-3.798131	-3.798014	6.080355
58	-3.710505	-3.710615	-3.800819	-3.800702	6.079124
59	-3.713070	-3.713180	-3.803411	-3.803294	6.078071
60	-3.715433	-3.715543	-3.805800	-3.805683	6.077287
61	-3.717591	-3.717701	-3.807984	-3.807867	6.076746
62	-3.719607	-3.719717	-3.810026	-3.809909	6.076381
63	-3.721548	-3.721658	-3.811993	-3.811876	6.076127
64	-3.723487	-3.723597	-3.813958	-3.813841	6.075870
65	-3.725570	-3.725680	-3.816067	-3.815951	6.075385
66	-3.727896	-3.728006	-3.818420	-3.818303	6.074610
67	-3.730407	-3.730518	-3.820959	-3.820842	6.073639
68	-3.733005	-3.733115	-3.823584	-3.823467	6.072559
69	-3.735631	-3.735741	-3.826238	-3.826121	6.071412
70	-3.738264	-3.738375	-3.828899	-3.828782	6.070222
71	-3.740896	-3.741006	-3.831558	-3.831441	6.069005
72	-3.743524	-3.743634	-3.834214	-3.834097	6.067770
73	-3.746155	-3.746265	-3.836872	-3.836755	6.066516
74	-3.748791	-3.748901	-3.839536	-3.839420	6.065247
75	-3.751432	-3.751542	-3.842204	-3.842088	6.063968
76	-3.754074	-3.754185	-3.844874	-3.844757	6.062682
77	-3.756716	-3.756826	-3.847543	-3.847426	6.061391
78	-3.759356	-3.759466	-3.850209	-3.850093	6.060099
79	-3.761992	-3.762102	-3.852873	-3.852756	6.058807
80	-3.764623	-3.764733	-3.855531	-3.855415	6.057517
81	-3.767248	-3.767358	-3.858183	-3.858066	6.056231
82	-3.769862	-3.769973	-3.860824	-3.860708	6.054972
83	-3.772351	-3.772461	-3.863339	-3.863223	6.053955
84	-3.774604	-3.774714	-3.865619	-3.865503	6.053232
85	-3.776663	-3.776773	-3.867703	-3.867587	6.052723
86	-3.778617	-3.778727	-3.869684	-3.869567	6.052333
87	-3.780537	-3.780647	-3.871629	-3.871512	6.051995
88	-3.782516	-3.782626	-3.873634	-3.873517	6.051551
89	-3.784691	-3.784802	-3.875836	-3.875720	6.050837
90	-3.787084	-3.787194	-3.878255	-3.878139	6.049900
91	-3.789598	-3.789708	-3.880797	-3.880680	6.048833
92	-3.792157	-3.792267	-3.883384	-3.883267	6.047695
93	-3.794725	-3.794835	-3.885979	-3.885862	6.046514
94	-3.797287	-3.797397	-3.888569	-3.888452	6.045311
95	-3.799837	-3.799947	-3.891146	-3.891030	6.044099
96	-3.802376	-3.802486	-3.893712	-3.893596	6.042883
97	-3.804911	-3.805021	-3.896274	-3.896158	6.041659
98	-3.807449	-3.807560	-3.898840	-3.898724	6.040425
99	-3.809991	-3.810101	-3.901409	-3.901292	6.039186
100	-3.812532	-3.812642	-3.903977	-3.903860	6.037945
101	-3.815069	-3.815179	-3.906541	-3.906424	6.036705
102	-3.817602	-3.817712	-3.909101	-3.908984	6.035466
103	-3.820130	-3.820240	-3.911656	-3.911539	6.034230
104	-3.822651	-3.822761	-3.914204	-3.914087	6.033000
105	-3.825162	-3.825272	-3.916741	-3.916625	6.031779
106	-3.827658	-3.827768	-3.919265	-3.919148	6.030585
107	-3.830055	-3.830165	-3.921688	-3.921571	6.029562
108	-3.832297	-3.832407	-3.923957	-3.923840	6.028693
109	-3.834464	-3.834574	-3.926149	-3.926033	6.027876
110	-3.836584	-3.836694	-3.928296	-3.928179	6.027148
111	-3.838641	-3.838751	-3.930379	-3.930262	6.026519
112	-3.840682	-3.840792	-3.932446	-3.932329	6.025896
113	-3.842804	-3.842914	-3.934594	-3.934478	6.025160
114	-3.845072	-3.845182	-3.936888	-3.936772	6.024261
115	-3.847455	-3.847565	-3.939298	-3.939182	6.023246
116	-3.849893	-3.850003	-3.941764	-3.941648	6.022164
