Hour	Occ	Lights	Washer	Dishwasher	DHW	Fridge	Dryer	Range	MELs	ExtLight	Tset	Bath	Shower	Sinks
1	1.000	0.033	0.009	0.015	0.006	0.040	0.010	0.007	0.037	0.083	19	0.008	0.011	0.014
2	1.000	0.020	0.007	0.007	0.003	0.039	0.006	0.007	0.035	0.083	19	0.004	0.005	0.007
3	1.000	0.013	0.004	0.005	0.001	0.038	0.004	0.004	0.034	0.083	19	0.004	0.003	0.005
4	1.000	0.013	0.004	0.003	0.001	0.037	0.002	0.004	0.034	0.083	19	0.004	0.005	0.005
5	1.000	0.013	0.007	0.003	0.003	0.036	0.004	0.007	0.032	0.083	19	0.008	0.014	0.007
6	1.000	0.014	0.011	0.010	0.022	0.036	0.006	0.011	0.036	0.083	19	0.019	0.052	0.018
7	1.000	0.024	0.022	0.020	0.075	0.038	0.016	0.025	0.042	0.083	21	0.046	0.118	0.042
8	0.883	0.046	0.049	0.031	0.079	0.040	0.032	0.042	0.044	0.000	21	0.058	0.117	0.062
9	0.409	0.040	0.073	0.058	0.076	0.041	0.048	0.046	0.037	0.000	21	0.066	0.095	0.066
10	0.242	0.021	0.086	0.065	0.067	0.041	0.068	0.048	0.032	0.000	21	0.058	0.074	0.062
11	0.242	0.017	0.084	0.056	0.061	0.040	0.078	0.042	0.033	0.000	21	0.046	0.060	0.054
12	0.242	0.017	0.075	0.048	0.048	0.040	0.081	0.050	0.033	0.000	21	0.035	0.047	0.050
13	0.242	0.017	0.067	0.041	0.042	0.042	0.074	0.057	0.032	0.000	21	0.031	0.034	0.049
14	0.242	0.017	0.060	0.046	0.037	0.042	0.067	0.046	0.033	0.000 	21	0.023	0.029	0.045
15	0.242	0.020	0.049	0.036	0.037	0.042	0.057	0.057	0.037	0.000 	21	0.023	0.026	0.043
16	0.242	0.017	0.052	0.038	0.033	0.041	0.061	0.044	0.035	0.000 	21	0.023	0.025	0.041
17	0.295	0.030	0.050	0.038	0.044	0.044	0.055	0.092	0.044	0.000 	21	0.039	0.030	0.048
18	0.553	0.051	0.049	0.049	0.058	0.048	0.054	0.150	0.053	0.000 	21	0.046	0.039	0.065
19	0.897	0.080	0.049	0.087	0.069	0.050	0.051	0.117	0.058	0.000 	21	0.077	0.042	0.075
20	0.897	0.104	0.049	0.111	0.065	0.048	0.051	0.060	0.060	0.083	21	0.100	0.042	0.069
21	0.897	0.120	0.049	0.090	0.059	0.047	0.052	0.035	0.062	0.083	21	0.100	0.042	0.057
22	1.000	0.119	0.047	0.067	0.048	0.046	0.054	0.025	0.060	0.083	21	0.077	0.041	0.048
23	1.000	0.091	0.032	0.044	0.042	0.044	0.044	0.016	0.052	0.083	21	0.066	0.029	0.040
24	1.000	0.063	0.017	0.031	0.023	0.041	0.024	0.011	0.045	0.083	19	0.039	0.021	0.027



