TIME	Bottom                   
0.00	4.42
1.00	4.42
2.00	4.42
3.00	4.41
4.00	4.41
5.00	4.41
6.00	4.40
7.00	4.40
8.00	4.39
9.00	4.39
10.00	4.39
11.00	4.39
12.00	4.39
13.00	4.38
14.00	4.38
15.00	4.39
16.00	4.39
17.00	4.39
18.00	4.39
19.00	4.39
20.00	4.39
21.00	4.39
22.00	4.39
23.00	4.38
24.00	4.38
25.00	4.38
26.00	4.38
27.00	4.38
28.00	4.37
29.00	4.37
30.00	4.37
31.00	4.36
32.00	4.36
33.00	4.35
34.00	4.35
35.00	4.35
36.00	4.35
37.00	4.35
38.00	4.35
39.00	4.34
40.00	4.35
41.00	4.35
42.00	4.35
43.00	4.34
44.00	4.34
45.00	4.34
46.00	4.34
47.00	4.34
48.00	4.34
49.00	4.34
50.00	4.34
51.00	4.33
52.00	4.33
53.00	4.33
54.00	4.32
55.00	4.32
56.00	4.31
57.00	4.31
58.00	4.31
59.00	4.30
60.00	4.30
61.00	4.30
62.00	4.30
63.00	4.30
64.00	4.30
65.00	4.30
66.00	4.30
67.00	4.30
68.00	4.30
69.00	4.30
70.00	4.30
71.00	4.30
72.00	4.30
73.00	4.30
74.00	4.30
75.00	4.29
76.00	4.29
77.00	4.28
78.00	4.28
79.00	4.28
80.00	4.27
81.00	4.27
82.00	4.26
83.00	4.26
84.00	4.26
85.00	4.26
86.00	4.26
87.00	4.26
88.00	4.26
89.00	4.26
90.00	4.26
91.00	4.26
92.00	4.26
93.00	4.26
94.00	4.26
95.00	4.26
96.00	4.25
97.00	4.25
98.00	4.25
99.00	4.25
100.00	4.24
101.00	4.24
102.00	4.23
103.00	4.23
104.00	4.23
105.00	4.22
106.00	4.22
107.00	4.22
108.00	4.21
109.00	4.21
110.00	4.21
111.00	4.21
112.00	4.21
113.00	4.21
114.00	4.21
115.00	4.21
116.00	4.21
117.00	4.21
118.00	4.21
119.00	4.21
120.00	4.21
121.00	4.20
122.00	4.20
123.00	4.20
124.00	4.20
125.00	4.19
126.00	4.19
127.00	4.18
128.00	4.18
129.00	4.17
130.00	4.17
131.00	4.17
132.00	4.17
133.00	4.16
134.00	4.16
135.00	4.16
136.00	4.17
137.00	4.17
138.00	4.17
139.00	4.17
140.00	4.16
141.00	4.16
142.00	4.16
143.00	4.16
144.00	4.16
145.00	4.16
146.00	4.16
147.00	4.16
148.00	4.15
149.00	4.15
150.00	4.14
151.00	4.14
152.00	4.13
153.00	4.13
154.00	4.13
155.00	4.12
156.00	4.12
157.00	4.12
158.00	4.12
159.00	4.12
160.00	4.12
161.00	4.12
162.00	4.12
163.00	4.12
164.00	4.12
165.00	4.12
166.00	4.12
167.00	4.12
168.00	4.11
169.00	4.11
170.00	4.11
171.00	4.11
172.00	4.11
173.00	4.10
174.00	4.10
175.00	4.09
176.00	4.09
177.00	4.09
178.00	4.08
179.00	4.08
180.00	4.08
181.00	4.08
182.00	4.08
183.00	4.08
184.00	4.08
185.00	4.08
186.00	4.08
187.00	4.08
188.00	4.08
189.00	4.08
190.00	4.08
191.00	4.08
192.00	4.08
193.00	4.08
194.00	4.08
195.00	4.08
196.00	4.07
197.00	4.07
198.00	4.07
199.00	4.06
200.00	4.06
201.00	4.06
202.00	4.05
203.00	4.05
204.00	4.05
205.00	4.05
206.00	4.05
207.00	4.05
